,Sequence,Z0,Z1
387,BAAABBBABABABBAAAAAA,3.1242275,9.106914
388,BAAABBBABBABAABAAAAA,2.7919753,8.913293
389,BAAABBBBABABAAAAABAA,4.73844,6.8516607
390,BAABAAAAABAABBAABBBA,7.7882123,7.7897067
391,BAABAAAAABBBAAABBABA,9.939698,9.428266
392,BAABAAAABABBBAAABABA,6.8686795,5.46144
393,BAABAAAABBBAABAAABBA,8.032266,5.7153606
394,BAABAAAABBBAABABAAAB,7.11799,5.303715
395,BAABAAABAAABBBAABBAA,7.229352,4.951497
396,BAABAAABAABAABBBABAA,7.542276,5.3993497
397,BAABAAABABAAABBBAABA,8.259191,4.4946237
398,BAABAAABABAABABBBAAA,7.2557287,4.311117
399,BAABAAABABABBBAAAAAB,8.837668,8.461112
400,BAABAAABABBAABAAABBA,8.243335,4.0108967
401,BAABAAABBAAAAABBBABA,8.497517,7.934782
402,BAABAAABBAABABAABABA,9.603072,1.725014
403,BAABAAABBAABBABABAAA,7.0492506,5.431614
404,BAABAAABBABABAAAABBA,8.7128525,7.9396534
405,BAABAAABBBBBBAAAAAAA,2.3343632,9.217414
406,BAABAABAAABBBABABAAA,6.871052,4.78717
407,BAABAABAABAABAAABBBA,8.110538,4.2735286
408,BAABAABAABAABABBAAAB,9.135167,2.2386823
409,BAABAABAABAABBAAABBA,8.302975,4.022788
410,BAABAABAABABBBAAABAA,8.116667,5.333001
411,BAABAABAABBAABBBAAAA,6.627254,5.343252
412,BAABAABAABBBAAABAAAB,8.391844,5.4104147
413,BAABAABAABBBAABAAABA,8.458405,3.0637167
414,BAABAABABAABBABBAAAA,6.473654,4.8616924
415,BAABAABABABAAABBAAAB,8.263792,3.9087286
416,BAABAABABABAAABBBAAA,7.5765295,4.8451233
417,BAABAABABABAABBAAABA,9.269997,2.1017869
418,BAABAABABBBAABAAAABA,6.5673423,4.672196
419,BAABAABBAAAABBBAABAA,7.835602,5.712115
420,BAABAABBAAABAABABBAA,8.376209,5.3860397
421,BAABAABBAAABAABBAAAB,8.390986,5.503661
422,BAABAABBAAABAABBAABA,9.281779,2.0898714
423,BAABAABBAAABBAABBAAA,8.185924,7.2249393
424,BAABAABBAABAAABBBAAA,8.334117,5.6150827
425,BAABAABBAABAABABABAA,9.563528,1.7672707
426,BAABAABBAABBBAAAAAAB,9.11806,8.776707
427,BAABAABBABAAABBAAABA,8.346427,4.850185
428,BAABAABBABAABBAAAAAB,8.2326,7.3538594
429,BAABAABBABBBAAAAAABA,6.0071096,6.780806
430,BAABAABBBAABAABAAAAB,7.3279243,3.9054213
431,BAABAABBBAABAABABAAA,7.553712,3.9960115
432,BAABAABBBABAAAABAAAB,6.9139724,5.6407857
433,BAABAABBBBAABAAAABAA,5.4489,5.8292317
434,BAABABAAAAAABABABBBA,4.6716714,8.361496
435,BAABABAAAAABABBBABAA,7.909952,7.764675
436,BAABABAAAABAAABABBBA,6.2412434,5.853072
437,BAABABAAAABBAABBABAA,8.425021,7.5888734
438,BAABABAAABAABBABABAA,8.419176,3.0992663
439,BAABABAAABABAABBAABA,9.462661,1.8755912
440,BAABABAABAABAABABABA,9.778855,1.5411636
441,BAABABAABAABBAABAABA,9.765917,1.554455
442,BAABABAABABAAABABBAA,9.240104,2.1107075
443,BAABABAABABBAAABABAA,8.789399,2.6496725
444,BAABABAABABBABAAAAAB,8.171812,7.352076
445,BAABABAABBABBAAAABAA,6.360378,5.2101126
